id	hate_type	hate_severity	to_whom	model
853785	Abusive	Little to None	None	csebuetnlp/banglabert
451339	Abusive	Little to None	Individual	csebuetnlp/banglabert
434603	Profane	Severe	Community	csebuetnlp/banglabert
776243	Abusive	Little to None	None	csebuetnlp/banglabert
857738	None	Little to None	None	csebuetnlp/banglabert
657731	None	Little to None	None	csebuetnlp/banglabert
309549	None	Little to None	None	csebuetnlp/banglabert
935003	None	Little to None	None	csebuetnlp/banglabert
837370	Abusive	Mild	Organization	csebuetnlp/banglabert
832799	Political Hate	Little to None	Society	csebuetnlp/banglabert
333504	Profane	Severe	Individual	csebuetnlp/banglabert
455676	None	Little to None	None	csebuetnlp/banglabert
686341	None	Little to None	None	csebuetnlp/banglabert
833132	Profane	Severe	Individual	csebuetnlp/banglabert
829417	None	Little to None	None	csebuetnlp/banglabert
173721	Abusive	Little to None	None	csebuetnlp/banglabert
179807	None	Little to None	None	csebuetnlp/banglabert
172129	Abusive	Mild	Community	csebuetnlp/banglabert
309949	Abusive	Little to None	None	csebuetnlp/banglabert
868955	None	Little to None	None	csebuetnlp/banglabert
649693	None	Little to None	None	csebuetnlp/banglabert
90477	Profane	Severe	Individual	csebuetnlp/banglabert
150665	None	Little to None	None	csebuetnlp/banglabert
539518	None	Little to None	None	csebuetnlp/banglabert
6441	Political Hate	Little to None	Organization	csebuetnlp/banglabert
316408	Abusive	Severe	Individual	csebuetnlp/banglabert
673952	None	Little to None	None	csebuetnlp/banglabert
51761	None	Little to None	None	csebuetnlp/banglabert
754177	None	Little to None	None	csebuetnlp/banglabert
931338	None	Little to None	Individual	csebuetnlp/banglabert
522610	None	Little to None	None	csebuetnlp/banglabert
27947	None	Little to None	None	csebuetnlp/banglabert
653841	Abusive	Little to None	None	csebuetnlp/banglabert
40916	None	Little to None	None	csebuetnlp/banglabert
446133	None	Little to None	None	csebuetnlp/banglabert
841967	None	Little to None	None	csebuetnlp/banglabert
609657	None	Little to None	None	csebuetnlp/banglabert
739084	None	Little to None	None	csebuetnlp/banglabert
351764	None	Little to None	None	csebuetnlp/banglabert
259184	None	Little to None	None	csebuetnlp/banglabert
393117	Abusive	Mild	Community	csebuetnlp/banglabert
328240	None	Little to None	None	csebuetnlp/banglabert
468435	Abusive	Little to None	Organization	csebuetnlp/banglabert
541450	None	Little to None	None	csebuetnlp/banglabert
723785	None	Little to None	None	csebuetnlp/banglabert
276566	None	Little to None	None	csebuetnlp/banglabert
606464	None	Little to None	None	csebuetnlp/banglabert
126449	None	Little to None	None	csebuetnlp/banglabert
75097	None	Little to None	None	csebuetnlp/banglabert
191972	Profane	Severe	Individual	csebuetnlp/banglabert
837237	Abusive	Little to None	None	csebuetnlp/banglabert
400643	Political Hate	Severe	Organization	csebuetnlp/banglabert
418393	None	Little to None	None	csebuetnlp/banglabert
910685	None	Little to None	None	csebuetnlp/banglabert
617275	Profane	Severe	Individual	csebuetnlp/banglabert
494945	None	Little to None	None	csebuetnlp/banglabert
318209	Profane	Severe	Individual	csebuetnlp/banglabert
696250	None	Little to None	None	csebuetnlp/banglabert
360014	None	Little to None	None	csebuetnlp/banglabert
578712	Political Hate	Severe	Organization	csebuetnlp/banglabert
127383	None	Little to None	None	csebuetnlp/banglabert
452100	Abusive	Little to None	Individual	csebuetnlp/banglabert
936774	Abusive	Severe	Community	csebuetnlp/banglabert
81295	Political Hate	Little to None	Organization	csebuetnlp/banglabert
312562	None	Little to None	None	csebuetnlp/banglabert
114169	None	Little to None	None	csebuetnlp/banglabert
758394	None	Little to None	None	csebuetnlp/banglabert
819133	Political Hate	Little to None	None	csebuetnlp/banglabert
427526	None	Little to None	None	csebuetnlp/banglabert
200459	Political Hate	Mild	Individual	csebuetnlp/banglabert
716131	None	Little to None	None	csebuetnlp/banglabert
416788	Abusive	Mild	Organization	csebuetnlp/banglabert
444300	Profane	Severe	Organization	csebuetnlp/banglabert
274190	None	Little to None	None	csebuetnlp/banglabert
692604	None	Little to None	None	csebuetnlp/banglabert
297287	Abusive	Little to None	None	csebuetnlp/banglabert
569220	Political Hate	Mild	Individual	csebuetnlp/banglabert
464993	None	Little to None	None	csebuetnlp/banglabert
219503	Political Hate	Mild	Organization	csebuetnlp/banglabert
603542	None	Little to None	None	csebuetnlp/banglabert
910996	None	Little to None	None	csebuetnlp/banglabert
733681	None	Little to None	None	csebuetnlp/banglabert
682912	Abusive	Severe	Individual	csebuetnlp/banglabert
79179	Political Hate	Mild	Organization	csebuetnlp/banglabert
185878	Political Hate	Severe	Individual	csebuetnlp/banglabert
429794	None	Little to None	None	csebuetnlp/banglabert
37514	Abusive	Little to None	Individual	csebuetnlp/banglabert
677951	Abusive	Little to None	Individual	csebuetnlp/banglabert
606638	None	Little to None	None	csebuetnlp/banglabert
667790	Political Hate	Mild	Organization	csebuetnlp/banglabert
404077	None	Little to None	None	csebuetnlp/banglabert
664870	Political Hate	Mild	Organization	csebuetnlp/banglabert
82089	Profane	Severe	Community	csebuetnlp/banglabert
506355	Political Hate	Mild	Organization	csebuetnlp/banglabert
542327	None	Little to None	None	csebuetnlp/banglabert
691922	None	Little to None	None	csebuetnlp/banglabert
640273	None	Little to None	None	csebuetnlp/banglabert
320130	None	Little to None	None	csebuetnlp/banglabert
367958	None	Little to None	None	csebuetnlp/banglabert
243866	None	Little to None	None	csebuetnlp/banglabert
601147	None	Little to None	None	csebuetnlp/banglabert
641554	None	Little to None	None	csebuetnlp/banglabert
454838	None	Little to None	None	csebuetnlp/banglabert
327255	Profane	Severe	Individual	csebuetnlp/banglabert
271180	Abusive	Mild	Individual	csebuetnlp/banglabert
452547	Political Hate	Mild	Organization	csebuetnlp/banglabert
627679	None	Little to None	None	csebuetnlp/banglabert
651348	None	Little to None	None	csebuetnlp/banglabert
328461	Profane	Severe	Individual	csebuetnlp/banglabert
839448	Political Hate	Mild	Organization	csebuetnlp/banglabert
623474	Political Hate	Mild	Organization	csebuetnlp/banglabert
610269	Political Hate	Little to None	None	csebuetnlp/banglabert
323389	Profane	Severe	Individual	csebuetnlp/banglabert
629010	None	Little to None	None	csebuetnlp/banglabert
9257	None	Little to None	None	csebuetnlp/banglabert
17083	None	Little to None	None	csebuetnlp/banglabert
797040	None	Little to None	None	csebuetnlp/banglabert
422453	Profane	Severe	Individual	csebuetnlp/banglabert
514992	None	Little to None	None	csebuetnlp/banglabert
107986	None	Little to None	None	csebuetnlp/banglabert
887752	Profane	Severe	Individual	csebuetnlp/banglabert
452552	None	Little to None	None	csebuetnlp/banglabert
549245	Abusive	Little to None	None	csebuetnlp/banglabert
391592	Abusive	Little to None	None	csebuetnlp/banglabert
819745	Abusive	Little to None	None	csebuetnlp/banglabert
881262	None	Little to None	None	csebuetnlp/banglabert
77103	Profane	Severe	Organization	csebuetnlp/banglabert
554417	Profane	Severe	Community	csebuetnlp/banglabert
556605	None	Little to None	None	csebuetnlp/banglabert
145147	None	Little to None	None	csebuetnlp/banglabert
693769	None	Little to None	None	csebuetnlp/banglabert
330413	None	Little to None	None	csebuetnlp/banglabert
181628	Political Hate	Mild	Organization	csebuetnlp/banglabert
744235	None	Little to None	None	csebuetnlp/banglabert
235157	None	Little to None	None	csebuetnlp/banglabert
3945	None	Little to None	None	csebuetnlp/banglabert
592566	Abusive	Little to None	None	csebuetnlp/banglabert
822682	Abusive	Mild	Individual	csebuetnlp/banglabert
398131	None	Little to None	None	csebuetnlp/banglabert
815971	None	Little to None	None	csebuetnlp/banglabert
6226	Abusive	Little to None	None	csebuetnlp/banglabert
842029	Abusive	Severe	Community	csebuetnlp/banglabert
230916	None	Little to None	None	csebuetnlp/banglabert
358091	None	Little to None	None	csebuetnlp/banglabert
118655	None	Little to None	None	csebuetnlp/banglabert
81123	None	Little to None	None	csebuetnlp/banglabert
424563	Profane	Severe	Individual	csebuetnlp/banglabert
355947	None	Little to None	None	csebuetnlp/banglabert
539022	None	Little to None	None	csebuetnlp/banglabert
876492	None	Little to None	None	csebuetnlp/banglabert
532223	Profane	Severe	Individual	csebuetnlp/banglabert
267304	Abusive	Little to None	None	csebuetnlp/banglabert
361656	None	Little to None	None	csebuetnlp/banglabert
175343	Abusive	Little to None	None	csebuetnlp/banglabert
499169	Profane	Severe	Individual	csebuetnlp/banglabert
425601	Profane	Severe	Individual	csebuetnlp/banglabert
336568	None	Little to None	None	csebuetnlp/banglabert
244155	None	Little to None	None	csebuetnlp/banglabert
25339	None	Little to None	None	csebuetnlp/banglabert
843785	Abusive	Little to None	None	csebuetnlp/banglabert
816856	None	Little to None	None	csebuetnlp/banglabert
466827	Abusive	Mild	Individual	csebuetnlp/banglabert
30825	None	Little to None	None	csebuetnlp/banglabert
914046	Abusive	Little to None	Individual	csebuetnlp/banglabert
305092	None	Little to None	None	csebuetnlp/banglabert
731052	None	Little to None	None	csebuetnlp/banglabert
331086	None	Little to None	None	csebuetnlp/banglabert
80707	None	Little to None	None	csebuetnlp/banglabert
700511	Abusive	Little to None	None	csebuetnlp/banglabert
759244	Political Hate	Mild	Society	csebuetnlp/banglabert
273391	Abusive	Mild	Organization	csebuetnlp/banglabert
157560	Abusive	Little to None	None	csebuetnlp/banglabert
666349	None	Little to None	None	csebuetnlp/banglabert
118868	Abusive	Little to None	Individual	csebuetnlp/banglabert
919196	None	Little to None	None	csebuetnlp/banglabert
193304	Political Hate	Little to None	Organization	csebuetnlp/banglabert
125720	None	Little to None	None	csebuetnlp/banglabert
512574	None	Little to None	None	csebuetnlp/banglabert
938099	None	Little to None	None	csebuetnlp/banglabert
714519	None	Little to None	None	csebuetnlp/banglabert
743493	None	Little to None	None	csebuetnlp/banglabert
491880	None	Little to None	None	csebuetnlp/banglabert
840307	Abusive	Little to None	None	csebuetnlp/banglabert
334019	None	Little to None	None	csebuetnlp/banglabert
576203	Profane	Severe	Community	csebuetnlp/banglabert
762331	Abusive	Little to None	None	csebuetnlp/banglabert
421390	Abusive	Little to None	None	csebuetnlp/banglabert
828741	Abusive	Severe	Organization	csebuetnlp/banglabert
357634	None	Little to None	None	csebuetnlp/banglabert
678272	None	Little to None	None	csebuetnlp/banglabert
330446	None	Little to None	None	csebuetnlp/banglabert
566240	None	Little to None	None	csebuetnlp/banglabert
829440	None	Little to None	None	csebuetnlp/banglabert
838151	None	Little to None	None	csebuetnlp/banglabert
358884	None	Little to None	None	csebuetnlp/banglabert
397727	None	Little to None	None	csebuetnlp/banglabert
171669	Political Hate	Mild	Organization	csebuetnlp/banglabert
288289	None	Little to None	None	csebuetnlp/banglabert
187431	None	Little to None	None	csebuetnlp/banglabert
512049	None	Little to None	None	csebuetnlp/banglabert
335567	Abusive	Little to None	Individual	csebuetnlp/banglabert
383736	None	Little to None	None	csebuetnlp/banglabert
535883	None	Little to None	None	csebuetnlp/banglabert
392091	None	Little to None	None	csebuetnlp/banglabert
454762	Profane	Severe	Community	csebuetnlp/banglabert
614159	None	Little to None	None	csebuetnlp/banglabert
562152	None	Little to None	None	csebuetnlp/banglabert
483412	Profane	Severe	Individual	csebuetnlp/banglabert
537925	Abusive	Little to None	Individual	csebuetnlp/banglabert
834167	None	Little to None	None	csebuetnlp/banglabert
875193	None	Little to None	None	csebuetnlp/banglabert
456722	Abusive	Little to None	None	csebuetnlp/banglabert
516282	None	Little to None	None	csebuetnlp/banglabert
257527	None	Little to None	None	csebuetnlp/banglabert
148896	None	Little to None	None	csebuetnlp/banglabert
760507	None	Little to None	None	csebuetnlp/banglabert
922414	Profane	Severe	Individual	csebuetnlp/banglabert
638043	Abusive	Mild	Organization	csebuetnlp/banglabert
173467	None	Little to None	None	csebuetnlp/banglabert
195178	Political Hate	Mild	Organization	csebuetnlp/banglabert
147724	Abusive	Little to None	None	csebuetnlp/banglabert
194025	Political Hate	Mild	Organization	csebuetnlp/banglabert
624059	None	Little to None	None	csebuetnlp/banglabert
107088	None	Little to None	None	csebuetnlp/banglabert
43696	None	Little to None	None	csebuetnlp/banglabert
527548	None	Little to None	None	csebuetnlp/banglabert
43059	None	Little to None	None	csebuetnlp/banglabert
194552	Profane	Severe	Individual	csebuetnlp/banglabert
895821	None	Little to None	None	csebuetnlp/banglabert
91	Abusive	Mild	None	csebuetnlp/banglabert
431755	None	Little to None	None	csebuetnlp/banglabert
563191	None	Little to None	None	csebuetnlp/banglabert
679996	Abusive	Little to None	None	csebuetnlp/banglabert
738155	None	Little to None	None	csebuetnlp/banglabert
463056	None	Little to None	None	csebuetnlp/banglabert
533553	None	Little to None	None	csebuetnlp/banglabert
908606	None	Little to None	None	csebuetnlp/banglabert
459309	None	Little to None	None	csebuetnlp/banglabert
630443	Profane	Severe	Individual	csebuetnlp/banglabert
347222	Abusive	Little to None	None	csebuetnlp/banglabert
675724	None	Little to None	None	csebuetnlp/banglabert
83975	Political Hate	Severe	Individual	csebuetnlp/banglabert
296851	None	Little to None	None	csebuetnlp/banglabert
535172	None	Little to None	None	csebuetnlp/banglabert
75581	Profane	Severe	Individual	csebuetnlp/banglabert
461746	Profane	Severe	Community	csebuetnlp/banglabert
874016	None	Little to None	None	csebuetnlp/banglabert
20045	Political Hate	Mild	Organization	csebuetnlp/banglabert
253489	Abusive	Severe	Community	csebuetnlp/banglabert
553524	None	Little to None	None	csebuetnlp/banglabert
57367	Profane	Severe	Individual	csebuetnlp/banglabert
167339	None	Little to None	None	csebuetnlp/banglabert
594894	Political Hate	Mild	Individual	csebuetnlp/banglabert
452023	None	Little to None	None	csebuetnlp/banglabert
795964	None	Little to None	None	csebuetnlp/banglabert
765992	None	Little to None	None	csebuetnlp/banglabert
508875	Abusive	Severe	Individual	csebuetnlp/banglabert
122727	Abusive	Little to None	Individual	csebuetnlp/banglabert
11814	None	Little to None	None	csebuetnlp/banglabert
544426	Abusive	Mild	Community	csebuetnlp/banglabert
725077	None	Little to None	None	csebuetnlp/banglabert
225212	None	Little to None	None	csebuetnlp/banglabert
779008	None	Little to None	None	csebuetnlp/banglabert
122184	None	Little to None	None	csebuetnlp/banglabert
584554	None	Little to None	None	csebuetnlp/banglabert
172329	None	Little to None	None	csebuetnlp/banglabert
167317	None	Little to None	None	csebuetnlp/banglabert
685147	None	Little to None	None	csebuetnlp/banglabert
294261	None	Little to None	None	csebuetnlp/banglabert
192130	None	Little to None	None	csebuetnlp/banglabert
425529	None	Little to None	None	csebuetnlp/banglabert
788604	None	Little to None	None	csebuetnlp/banglabert
501111	None	Little to None	None	csebuetnlp/banglabert
139510	Political Hate	Mild	Organization	csebuetnlp/banglabert
43771	Abusive	Mild	Community	csebuetnlp/banglabert
144519	Abusive	Little to None	None	csebuetnlp/banglabert
915772	None	Little to None	None	csebuetnlp/banglabert
411616	Political Hate	Severe	Organization	csebuetnlp/banglabert
475013	None	Little to None	None	csebuetnlp/banglabert
809205	None	Little to None	None	csebuetnlp/banglabert
541359	None	Little to None	None	csebuetnlp/banglabert
845267	Abusive	Little to None	Individual	csebuetnlp/banglabert
113755	None	Little to None	None	csebuetnlp/banglabert
568511	None	Little to None	None	csebuetnlp/banglabert
59618	Abusive	Little to None	Individual	csebuetnlp/banglabert
803177	None	Little to None	None	csebuetnlp/banglabert
858819	None	Little to None	None	csebuetnlp/banglabert
438940	None	Little to None	None	csebuetnlp/banglabert
570407	Profane	Severe	Individual	csebuetnlp/banglabert
129788	None	Little to None	None	csebuetnlp/banglabert
840086	None	Little to None	None	csebuetnlp/banglabert
637172	None	Little to None	None	csebuetnlp/banglabert
821993	None	Little to None	None	csebuetnlp/banglabert
325856	Abusive	Severe	Organization	csebuetnlp/banglabert
359155	None	Little to None	None	csebuetnlp/banglabert
899842	None	Little to None	None	csebuetnlp/banglabert
660308	None	Little to None	None	csebuetnlp/banglabert
861989	Profane	Severe	Individual	csebuetnlp/banglabert
605443	Abusive	Severe	Individual	csebuetnlp/banglabert
27739	None	Little to None	None	csebuetnlp/banglabert
580148	Political Hate	Little to None	Organization	csebuetnlp/banglabert
528215	None	Little to None	None	csebuetnlp/banglabert
528712	None	Little to None	None	csebuetnlp/banglabert
100208	Political Hate	Severe	Organization	csebuetnlp/banglabert
350796	None	Little to None	None	csebuetnlp/banglabert
307708	Profane	Severe	Individual	csebuetnlp/banglabert
162719	None	Little to None	None	csebuetnlp/banglabert
121889	Abusive	Severe	Community	csebuetnlp/banglabert
612317	None	Little to None	None	csebuetnlp/banglabert
223760	Political Hate	Mild	Organization	csebuetnlp/banglabert
405579	None	Little to None	None	csebuetnlp/banglabert
618511	None	Little to None	None	csebuetnlp/banglabert
175761	None	Little to None	None	csebuetnlp/banglabert
748125	None	Little to None	None	csebuetnlp/banglabert
156891	Abusive	Little to None	Individual	csebuetnlp/banglabert
592641	None	Little to None	None	csebuetnlp/banglabert
726885	None	Little to None	None	csebuetnlp/banglabert
4254	Abusive	Little to None	None	csebuetnlp/banglabert
682514	None	Little to None	None	csebuetnlp/banglabert
264638	Abusive	Little to None	Individual	csebuetnlp/banglabert
534602	Abusive	Mild	Individual	csebuetnlp/banglabert
57614	Profane	Severe	Individual	csebuetnlp/banglabert
599800	Political Hate	Severe	Organization	csebuetnlp/banglabert
732787	None	Little to None	None	csebuetnlp/banglabert
212119	None	Little to None	None	csebuetnlp/banglabert
860927	None	Little to None	None	csebuetnlp/banglabert
590074	Political Hate	Mild	Organization	csebuetnlp/banglabert
690276	None	Little to None	None	csebuetnlp/banglabert
787556	None	Little to None	None	csebuetnlp/banglabert
820252	None	Little to None	None	csebuetnlp/banglabert
559717	None	Little to None	None	csebuetnlp/banglabert
870003	Profane	Severe	Individual	csebuetnlp/banglabert
144906	None	Little to None	None	csebuetnlp/banglabert
133089	None	Little to None	None	csebuetnlp/banglabert
591997	None	Little to None	None	csebuetnlp/banglabert
395816	None	Little to None	None	csebuetnlp/banglabert
844477	None	Little to None	None	csebuetnlp/banglabert
178300	None	Little to None	None	csebuetnlp/banglabert
148894	None	Little to None	Community	csebuetnlp/banglabert
850484	Abusive	Little to None	Individual	csebuetnlp/banglabert
860027	None	Little to None	None	csebuetnlp/banglabert
247862	Political Hate	Mild	Organization	csebuetnlp/banglabert
312983	Profane	Severe	Individual	csebuetnlp/banglabert
122427	Abusive	Little to None	Individual	csebuetnlp/banglabert
83755	None	Little to None	None	csebuetnlp/banglabert
195967	Political Hate	Little to None	Organization	csebuetnlp/banglabert
494458	None	Little to None	None	csebuetnlp/banglabert
9228	None	Little to None	None	csebuetnlp/banglabert
684602	None	Little to None	None	csebuetnlp/banglabert
927791	None	Little to None	None	csebuetnlp/banglabert
615666	Abusive	Little to None	Individual	csebuetnlp/banglabert
599050	Abusive	Mild	Society	csebuetnlp/banglabert
455023	None	Little to None	None	csebuetnlp/banglabert
819948	None	Little to None	None	csebuetnlp/banglabert
749193	None	Little to None	None	csebuetnlp/banglabert
623630	Abusive	Severe	Individual	csebuetnlp/banglabert
320310	None	Little to None	None	csebuetnlp/banglabert
532308	None	Little to None	None	csebuetnlp/banglabert
79033	Abusive	Little to None	None	csebuetnlp/banglabert
689620	None	Little to None	None	csebuetnlp/banglabert
503545	None	Little to None	None	csebuetnlp/banglabert
880433	None	Little to None	None	csebuetnlp/banglabert
566043	None	Little to None	None	csebuetnlp/banglabert
146502	Political Hate	Mild	Organization	csebuetnlp/banglabert
659400	None	Little to None	None	csebuetnlp/banglabert
134693	None	Little to None	None	csebuetnlp/banglabert
147313	None	Little to None	None	csebuetnlp/banglabert
793773	Political Hate	Little to None	Organization	csebuetnlp/banglabert
269220	Abusive	Mild	Individual	csebuetnlp/banglabert
284822	None	Little to None	None	csebuetnlp/banglabert
722881	Political Hate	Mild	Organization	csebuetnlp/banglabert
33435	Political Hate	Mild	Organization	csebuetnlp/banglabert
626585	None	Little to None	None	csebuetnlp/banglabert
795133	None	Little to None	None	csebuetnlp/banglabert
342079	None	Little to None	None	csebuetnlp/banglabert
62264	None	Little to None	None	csebuetnlp/banglabert
350128	Profane	Severe	Organization	csebuetnlp/banglabert
586407	None	Little to None	None	csebuetnlp/banglabert
116562	None	Little to None	None	csebuetnlp/banglabert
132059	Abusive	Little to None	None	csebuetnlp/banglabert
29850	None	Little to None	None	csebuetnlp/banglabert
334210	Abusive	Little to None	Individual	csebuetnlp/banglabert
807912	Profane	Severe	Individual	csebuetnlp/banglabert
421928	Abusive	Mild	Community	csebuetnlp/banglabert
609522	None	Little to None	None	csebuetnlp/banglabert
896838	Profane	Severe	Individual	csebuetnlp/banglabert
623237	None	Little to None	None	csebuetnlp/banglabert
289648	Political Hate	Mild	Organization	csebuetnlp/banglabert
426382	None	Little to None	None	csebuetnlp/banglabert
260072	Abusive	Little to None	None	csebuetnlp/banglabert
186438	None	Little to None	None	csebuetnlp/banglabert
330719	Abusive	Little to None	None	csebuetnlp/banglabert
694232	None	Little to None	None	csebuetnlp/banglabert
659151	None	Little to None	None	csebuetnlp/banglabert
723103	None	Little to None	None	csebuetnlp/banglabert
269242	None	Little to None	None	csebuetnlp/banglabert
658310	None	Little to None	None	csebuetnlp/banglabert
284423	Profane	Severe	Individual	csebuetnlp/banglabert
471188	None	Little to None	None	csebuetnlp/banglabert
321553	None	Little to None	None	csebuetnlp/banglabert
23673	Abusive	Mild	Community	csebuetnlp/banglabert
31466	None	Little to None	None	csebuetnlp/banglabert
390734	None	Little to None	None	csebuetnlp/banglabert
299334	Political Hate	Little to None	Organization	csebuetnlp/banglabert
915160	Abusive	Little to None	None	csebuetnlp/banglabert
886892	Political Hate	Little to None	Organization	csebuetnlp/banglabert
187567	None	Little to None	None	csebuetnlp/banglabert
716122	None	Little to None	None	csebuetnlp/banglabert
306552	None	Little to None	None	csebuetnlp/banglabert
556825	None	Little to None	None	csebuetnlp/banglabert
327323	Profane	Severe	Individual	csebuetnlp/banglabert
845725	Abusive	Little to None	Individual	csebuetnlp/banglabert
832828	None	Little to None	None	csebuetnlp/banglabert
614077	Abusive	Mild	Individual	csebuetnlp/banglabert
861156	Profane	Severe	Individual	csebuetnlp/banglabert
899235	None	Little to None	None	csebuetnlp/banglabert
920682	None	Little to None	None	csebuetnlp/banglabert
896115	None	Little to None	None	csebuetnlp/banglabert
819642	None	Little to None	None	csebuetnlp/banglabert
684624	Abusive	Mild	None	csebuetnlp/banglabert
671761	None	Little to None	None	csebuetnlp/banglabert
199225	Abusive	Little to None	None	csebuetnlp/banglabert
96018	None	Little to None	None	csebuetnlp/banglabert
530720	None	Little to None	None	csebuetnlp/banglabert
886768	None	Little to None	None	csebuetnlp/banglabert
788454	Profane	Severe	Individual	csebuetnlp/banglabert
840793	None	Little to None	None	csebuetnlp/banglabert
530660	Abusive	Little to None	Individual	csebuetnlp/banglabert
764785	None	Little to None	None	csebuetnlp/banglabert
510402	None	Little to None	None	csebuetnlp/banglabert
797709	None	Little to None	None	csebuetnlp/banglabert
154764	None	Little to None	None	csebuetnlp/banglabert
758899	Abusive	Mild	Organization	csebuetnlp/banglabert
30625	None	Little to None	None	csebuetnlp/banglabert
650748	Abusive	Severe	Organization	csebuetnlp/banglabert
79978	None	Little to None	None	csebuetnlp/banglabert
590113	None	Little to None	None	csebuetnlp/banglabert
904047	None	Little to None	None	csebuetnlp/banglabert
228881	None	Little to None	None	csebuetnlp/banglabert
205983	Abusive	Little to None	Individual	csebuetnlp/banglabert
638273	None	Little to None	None	csebuetnlp/banglabert
156553	None	Little to None	None	csebuetnlp/banglabert
146868	None	Little to None	None	csebuetnlp/banglabert
428917	None	Little to None	None	csebuetnlp/banglabert
5567	None	Little to None	None	csebuetnlp/banglabert
385342	None	Little to None	None	csebuetnlp/banglabert
687821	Profane	Severe	Individual	csebuetnlp/banglabert
558622	Abusive	Severe	Organization	csebuetnlp/banglabert
520964	None	Little to None	None	csebuetnlp/banglabert
635670	None	Little to None	Individual	csebuetnlp/banglabert
308809	None	Little to None	None	csebuetnlp/banglabert
864406	None	Little to None	None	csebuetnlp/banglabert
906662	Abusive	Little to None	None	csebuetnlp/banglabert
575658	Abusive	Little to None	Individual	csebuetnlp/banglabert
394694	None	Little to None	None	csebuetnlp/banglabert
923350	Abusive	Little to None	None	csebuetnlp/banglabert
46205	None	Little to None	None	csebuetnlp/banglabert
855695	None	Little to None	None	csebuetnlp/banglabert
486257	None	Little to None	None	csebuetnlp/banglabert
276551	Profane	Severe	Individual	csebuetnlp/banglabert
587637	None	Little to None	None	csebuetnlp/banglabert
647643	None	Little to None	None	csebuetnlp/banglabert
148374	None	Little to None	None	csebuetnlp/banglabert
657648	Abusive	Little to None	None	csebuetnlp/banglabert
126155	None	Little to None	None	csebuetnlp/banglabert
196609	Political Hate	Mild	Organization	csebuetnlp/banglabert
754547	None	Little to None	None	csebuetnlp/banglabert
544929	None	Little to None	None	csebuetnlp/banglabert
349354	None	Little to None	None	csebuetnlp/banglabert
260051	Political Hate	Mild	Individual	csebuetnlp/banglabert
864433	None	Little to None	None	csebuetnlp/banglabert
439970	Abusive	Mild	Individual	csebuetnlp/banglabert
31197	None	Little to None	None	csebuetnlp/banglabert
884727	None	Little to None	None	csebuetnlp/banglabert
559768	None	Little to None	None	csebuetnlp/banglabert
581342	Political Hate	Mild	Organization	csebuetnlp/banglabert
93295	Political Hate	Mild	Organization	csebuetnlp/banglabert
765866	Abusive	Little to None	Community	csebuetnlp/banglabert
52066	None	Little to None	None	csebuetnlp/banglabert
150858	Abusive	Little to None	None	csebuetnlp/banglabert
825788	Profane	Severe	Individual	csebuetnlp/banglabert
737745	None	Little to None	None	csebuetnlp/banglabert
472075	None	Little to None	None	csebuetnlp/banglabert
782014	None	Little to None	None	csebuetnlp/banglabert
846878	Profane	Severe	Individual	csebuetnlp/banglabert
54711	None	Little to None	None	csebuetnlp/banglabert
195057	None	Little to None	None	csebuetnlp/banglabert
23737	None	Little to None	None	csebuetnlp/banglabert
262183	Political Hate	Little to None	Organization	csebuetnlp/banglabert
908109	None	Little to None	None	csebuetnlp/banglabert
747650	None	Little to None	None	csebuetnlp/banglabert
632080	None	Little to None	None	csebuetnlp/banglabert
451953	Abusive	Little to None	None	csebuetnlp/banglabert
566719	Political Hate	Mild	Individual	csebuetnlp/banglabert
160977	None	Little to None	None	csebuetnlp/banglabert
398536	None	Little to None	None	csebuetnlp/banglabert
671041	None	Little to None	None	csebuetnlp/banglabert
228691	Abusive	Little to None	Individual	csebuetnlp/banglabert
215202	Abusive	Severe	Individual	csebuetnlp/banglabert
467926	None	Little to None	None	csebuetnlp/banglabert
631408	Abusive	Little to None	None	csebuetnlp/banglabert
57868	None	Little to None	None	csebuetnlp/banglabert
192787	None	Little to None	None	csebuetnlp/banglabert
336777	Political Hate	Severe	Individual	csebuetnlp/banglabert
890857	None	Little to None	None	csebuetnlp/banglabert
691728	None	Little to None	None	csebuetnlp/banglabert
831986	None	Little to None	Individual	csebuetnlp/banglabert
644832	Abusive	Little to None	Organization	csebuetnlp/banglabert
859881	None	Little to None	None	csebuetnlp/banglabert
386166	None	Little to None	None	csebuetnlp/banglabert
411564	None	Little to None	None	csebuetnlp/banglabert
196840	Political Hate	Severe	Organization	csebuetnlp/banglabert
26706	Political Hate	Mild	Organization	csebuetnlp/banglabert
24433	Profane	Severe	Individual	csebuetnlp/banglabert
294784	Abusive	Severe	Individual	csebuetnlp/banglabert
329873	None	Little to None	None	csebuetnlp/banglabert
922916	None	Little to None	None	csebuetnlp/banglabert
263428	Profane	Severe	Individual	csebuetnlp/banglabert
879502	Abusive	Little to None	None	csebuetnlp/banglabert
171810	None	Little to None	None	csebuetnlp/banglabert
146419	None	Little to None	None	csebuetnlp/banglabert
11825	Abusive	Mild	Community	csebuetnlp/banglabert
385459	None	Little to None	None	csebuetnlp/banglabert
837842	None	Little to None	None	csebuetnlp/banglabert
707861	None	Little to None	None	csebuetnlp/banglabert
256853	None	Little to None	None	csebuetnlp/banglabert
304172	Profane	Severe	Individual	csebuetnlp/banglabert
